"","X","path_length_microns","neurite_number","path_length_sum","neurite_per_sum","morphological_long_axon_present","morphological_short_axon_present","date","cell","condition","timepoint"
"35",35,23.90782105,2,71.58457907,0.333980046549151,FALSE,FALSE,"plated_03-06-23","e254a_005","E254A",1
"36",36,5.706531983,3,71.58457907,0.0797173365707688,FALSE,FALSE,"plated_03-06-23","e254a_005","E254A",1
"37",37,3.4627417,4,71.58457907,0.0483727325771366,FALSE,FALSE,"plated_03-06-23","e254a_005","E254A",1
"38",38,3.108494467,5,71.58457907,0.0434240797024219,FALSE,FALSE,"plated_03-06-23","e254a_005","E254A",1
"39",39,27.05259257,1,84.569215911,0.31988699763363,FALSE,FALSE,"plated_03-06-23","e254a_006","E254A",1
"40",40,9.780711875,2,84.569215911,0.11565333519579,FALSE,FALSE,"plated_03-06-23","e254a_006","E254A",1
"41",41,9.776786908,3,84.569215911,0.115606923898751,FALSE,FALSE,"plated_03-06-23","e254a_006","E254A",1
"42",42,7.403588258,4,84.569215911,0.0875447191776199,FALSE,FALSE,"plated_03-06-23","e254a_006","E254A",1
"43",43,7.2836556,5,84.569215911,0.0861265594287319,FALSE,FALSE,"plated_03-06-23","e254a_006","E254A",1
"44",44,7.17319865,6,84.569215911,0.0848204464559423,FALSE,FALSE,"plated_03-06-23","e254a_006","E254A",1
"45",45,6.906531983,7,84.569215911,0.0816672108000668,FALSE,FALSE,"plated_03-06-23","e254a_006","E254A",1
"46",46,2.763722942,8,84.569215911,0.0326800114229334,FALSE,FALSE,"plated_03-06-23","e254a_006","E254A",1
"47",47,2.487580567,9,84.569215911,0.0294147289909594,FALSE,FALSE,"plated_03-06-23","e254a_006","E254A",1
"48",48,2.386599325,10,84.569215911,0.0282206627942683,FALSE,FALSE,"plated_03-06-23","e254a_006","E254A",1
"49",49,1.554247233,11,84.569215911,0.0183784042013075,FALSE,FALSE,"plated_03-06-23","e254a_006","E254A",1
"50",50,27.616652224137,1,58.8728330557782,0.469089914493702,FALSE,FALSE,"plated_03-06-23","e254a_007","E254A",1
"51",51,25.2735064736294,2,58.8728330557782,0.429289795680197,FALSE,FALSE,"plated_03-06-23","e254a_007","E254A",1
"52",52,2.76372294151438,3,58.8728330557782,0.0469439433787046,FALSE,FALSE,"plated_03-06-23","e254a_007","E254A",1
"53",53,1.8761423749154,4,58.8728330557782,0.0318677100716025,FALSE,FALSE,"plated_03-06-23","e254a_007","E254A",1
"54",54,1.34280904158206,5,58.8728330557782,0.0228086363757938,FALSE,FALSE,"plated_03-06-23","e254a_007","E254A",1
"55",55,105.004819553409,1,273.09161116192,0.384504009869239,TRUE,TRUE,"plated_03-06-23","e254a_008","E254A",1
"56",56,61.7280615307614,2,273.09161116192,0.226034264722111,TRUE,TRUE,"plated_03-06-23","e254a_008","E254A",1
"57",57,14.4624049908714,3,273.09161116192,0.0529580712103837,FALSE,FALSE,"plated_03-06-23","e254a_008","E254A",1
"58",58,13.0833188908037,4,273.09161116192,0.0479081683803403,FALSE,FALSE,"plated_03-06-23","e254a_008","E254A",1
"59",59,9.2016257745093,5,273.09161116192,0.0336942820592666,FALSE,FALSE,"plated_03-06-23","e254a_008","E254A",1
"60",60,8.13495910784263,6,273.09161116192,0.0297883888605399,FALSE,FALSE,"plated_03-06-23","e254a_008","E254A",1
"61",61,7.30260701622674,7,273.09161116192,0.0267405028853007,FALSE,FALSE,"plated_03-06-23","e254a_008","E254A",1
"62",62,6.69509379141285,8,273.09161116192,0.0245159262231722,FALSE,FALSE,"plated_03-06-23","e254a_008","E254A",1
"63",63,6.50653198309645,9,273.09161116192,0.0238254553313197,FALSE,FALSE,"plated_03-06-23","e254a_008","E254A",1
"64",64,5.98267435801184,10,273.09161116192,0.021907206642333,FALSE,FALSE,"plated_03-06-23","e254a_008","E254A",1
"65",65,5.88169311629442,11,273.09161116192,0.0215374360686864,FALSE,FALSE,"plated_03-06-23","e254a_008","E254A",1
"66",66,5.73888407471235,12,273.09161116192,0.0210145015084688,FALSE,FALSE,"plated_03-06-23","e254a_008","E254A",1
"67",67,5.43038960818106,13,273.09161116192,0.0198848642222162,FALSE,FALSE,"plated_03-06-23","e254a_008","E254A",1
"68",68,5.0169889330626,14,273.09161116192,0.0183710840172529,FALSE,FALSE,"plated_03-06-23","e254a_008","E254A",1
"69",69,4.82842712474619,15,273.09161116192,0.0176806131254004,FALSE,FALSE,"plated_03-06-23","e254a_008","E254A",1
"70",70,4.66274169979695,16,273.09161116192,0.0170739103993654,FALSE,FALSE,"plated_03-06-23","e254a_008","E254A",1
"71",71,3.43038960818102,17,273.09161116192,0.0125613144746035,FALSE,FALSE,"plated_03-06-23","e254a_008","E254A",1
"72",72,23.4068398069627,1,81.0110437126395,0.288933937081356,FALSE,FALSE,"plated_03-06-23","e254a_009","E254A",1
"73",73,15.4872438576735,2,81.0110437126395,0.191174476317198,FALSE,FALSE,"plated_03-06-23","e254a_009","E254A",1
"74",74,15.3310341409729,3,81.0110437126395,0.189246224198207,FALSE,FALSE,"plated_03-06-23","e254a_009","E254A",1
"75",75,14.9728619408375,4,81.0110437126395,0.184824947990411,FALSE,FALSE,"plated_03-06-23","e254a_009","E254A",1
"76",76,11.8130639661929,5,81.0110437126395,0.145820414412829,FALSE,FALSE,"plated_03-06-23","e254a_009","E254A",1
"77",77,88.01855694,1,121.472775288,0.72459492862756,TRUE,TRUE,"plated_03-06-23","e254a_010_cell1","E254A",1
"78",78,11.9882251,2,121.472775288,0.0986906331198665,FALSE,FALSE,"plated_03-06-23","e254a_010_cell1","E254A",1
"79",79,10.19966329,3,121.472775288,0.0839666605609167,FALSE,FALSE,"plated_03-06-23","e254a_010_cell1","E254A",1
"80",80,7.003588258,4,121.472775288,0.0576556207050936,FALSE,FALSE,"plated_03-06-23","e254a_010_cell1","E254A",1
"81",81,4.2627417,5,121.472775288,0.0350921569865631,FALSE,FALSE,"plated_03-06-23","e254a_010_cell1","E254A",1
